Gene
DDB2
DDB1
DDIT4L
DDIT4
RBM17
MDC1
DDIAS
DDIT3
GADD45A
GADD45B
GADD45G
HUS1B
HUS1
POLM
XRCC1
HELB
POLK
ERCC4
POLQ
SPIDR
POLH
MPG
REV1
TDP1
ALKBH2
POLI
MCM9
POLN
POLB
POLL
MCM8
XRCC4
LIG1
TOP3A
MUTYH
OGG1
RBBP8
TDP2
INO80
RAD50
RAD9A
LIG3
FBXO18
NEIL3
LIG4
XRCC3
XRCC2
TOP2A
UNG
POLD3
POLD4
POLD2
PIF1
NEIL1
NEIL2
POLD1
MGMT
RAD52
msh2-msh3_human
SWI5
KIN
Q6ZNB5
MSH2
XPC
PRIMPOL
RECQL
REV3L
RECQL5
DDX11
MCM7
MLH3
RECQL4
POLE2
TOPBP1
POLA1
MSH3
IGHMBP2
POLG
MSH6
MLH1
MCMDC2
XPA
NEXMIF
POLR2I
POLR2C
PRKDC
DCLRE1A
ERCC1
POLR2A
XRCC6
XRCC5
SLF1
APEX2
ALKBH8
RAD54B
GINS2
GINS4
RAD54L
RAD51
POLG2
ERCC8
CHD1L
SMUG1
CDC5L
BLM
POLR2B
RAD51D
RAD51B
DMAP1
ZRANB3
ERCC5
CHD2
POLE
ERCC6
APEX1
MSH5
MMS19
RAD51C
POLR2G
DNA2
POLR2D
TDG
MSH4
WRNIP1
ERCC3
ALKBH1
WRN
RPA1
RTEL1
ERCC6L2
RFC3
RFC5
RFC2
RFC4
DCLRE1C
ESCO2
RTEL1-TNFRSF6B
DCLRE1B
PMS1
WDHD1
SFR1
POLR2J
PMS2
GEN1
MBD4
POLR2F
POLR2E
POLR2H
POLR2L
POLR2K
ERCC2
EXO1
FEN1
DMC1
A0A0U1RQJ8
TP53TG1
PCBP4
WDR76
GML
RINT1
CNOT11
CNOT4
CENPJ
EME1
ZNF385A
FAM168A
MUS81
RPL26
E2F4
RPA2
CHEK2
RAD9B
RFWD3
PLAGL1
ARID3A
RADX
PITHD1
SUSD6
RBL2
BABAM2
ABRAXAS1
DTL
BABAM1
BRCC3
ORAOV1
E2F8
PARPBP
MUC1
TRIAP1
NSMCE4A
E2F7
SHFM1
EEPD1
EME2
MRNIP
FANCI
PCNA
CRADD
PIDD1
BOD1L1
BIVM-ERCC5
CASP2
TNKS1BP1
DONSON
CNOT8
MDM4
CNOT6
CNOT6L
CNOT3
CNOT10
CDC25C
TMEM161A
TPT1
AUNIP
A0A087WWV3
CYREN
NUDT16L1
PAXX
GTSE1
ASTE1
RAD18
RPA4
CDK2
ercc1-xpf_human
TFDP2
TIPIN
PYHIN1
PGAP2
ARMT1
SYF2
TFDP1
ino80_human-1
RNF169
CDIP1
C21orf2
AEN
BTG2
CHEK1
ATRIP
RPS27L
PARP3
FOXM1
NSMCE1
eme1-mus81_human
MCM10
FOXN3
M0R2N6
ZSWIM7
E9PQ18
hCG_2039718
CARM1
USP1
NBN
ELL3
ATM
DYRK3
EEF1E1
PLA2R1
MRE11
SMARCAL1
RPA3
WDR70
MGME1
HMGA2
SFN
PRMT1
CLSPN
USP28
UIMC1
CNOT2
CNOT1
inip-ints3-nabp1_human
PPP1R10
TFIP11
SOX4
PLK3
CNOT9
PARP2
CDKN1A
CHAF1A
CINP
FAAP24
FAAP100
ETAA1
NEK11
CUL4A
KDM1A
CRIP1
FIGNL2
PLK2
CEP63
COPS7A
COPS7B
COPS6
HIC1
ALKBH3
