"","x"
"1","A1BG|1"
"2483","ILF3|3609"
"2484","ILK|3611"
"2485","IMPA1|3612"
"2486","IMPA2|3613"
"2487","IMPDH1|3614"
"2488","IMPDH2|3615"
"2489","IMPG1|3617"
"2490","INCENP|3619"
"2491","IDO1|3620"
"2492","ING1|3621"
"2493","ING2|3622"
"2494","INHA|3623"
"2495","INHBA|3624"
"2496","INHBB|3625"
"2497","INHBC|3626"
"2498","CXCL10|3627"
"2499","INPP1|3628"
"2500","INS|3630"
"2501","INPP4A|3631"
"2502","INPP5A|3632"
"2503","INPP5B|3633"
"2504","INPP5D|3635"
"2505","INPPL1|3636"
"2506","INSIG1|3638"
"2507","INSL3|3640"
"2508","INSL4|3641"
"2509","INSM1|3642"
"2510","INSR|3643"
"2511","INSRR|3645"
"2512","EIF3E|3646"
"2513","PDX1|3651"
"2514","IPP|3652"
"2515","IPW|3653"
"2516","IRAK1|3654"
"2517","ITGA6|3655"
"2518","IRAK2|3656"
"2519","IREB2|3658"
"2520","IRF1|3659"
"2521","IRF2|3660"
"2522","IRF3|3661"
"2523","IRF4|3662"
"2524","IRF5|3663"
"2525","IRF6|3664"
"2526","IRF7|3665"
"2527","IRS1|3667"
"2528","ISG20|3669"
"2529","ISL1|3670"
"2530","ISLR|3671"
"2531","ITGA1|3672"
"2532","ITGA2|3673"
"2533","ITGA2B|3674"
"2534","ITGA3|3675"
"2535","ITGA4|3676"
"2536","ITGA5|3678"
"2537","ITGA7|3679"
"2538","ITGA9|3680"
"2539","ITGAD|3681"
"2540","ITGAE|3682"
"2541","ITGAL|3683"
"2542","ITGAM|3684"
"2543","ITGAV|3685"
"2544","ITGAX|3687"
"2545","ITGB1|3688"
"2546","ITGB2|3689"
"2547","ITGB3|3690"
"2548","ITGB4|3691"
"2549","EIF6|3692"
"2550","ITGB5|3693"
"2551","ITGB6|3694"
"2552","ITGB7|3695"
"2553","ITGB8|3696"
"2554","ITIH1|3697"
"2555","ITIH2|3698"
"2556","ITIH3|3699"
"2557","ITIH4|3700"
"2558","ITK|3702"
"2559","STT3A|3703"
"2560","ITPA|3704"
"2561","ITPK1|3705"
"2562","ITPKA|3706"
"2563","ITPKB|3707"
"2564","ITPR1|3708"
"2565","ITPR2|3709"
"2566","ITPR3|3710"
"2567","IVD|3712"
"2568","IVL|3713"
"2569","JAG2|3714"
"2570","JAK1|3716"
"2571","JAK2|3717"
"2572","JAK3|3718"
"2573","JARID2|3720"
"2574","JUN|3725"
"2575","JUNB|3726"
"2576","JUND|3727"
"2577","JUP|3728"
"2578","KAL1|3730"
"2579","CD82|3732"
"2580","KARS|3735"
"2581","KCNA1|3736"
"2582","KCNA2|3737"
"2583","KCNA3|3738"
"2584","KCNA3|3738"
"2585","KCNA4|3739"
"2586","KCNA5|3741"
"2587","KCNA6|3742"
"2588","KCNA7|3743"
"2589","KCNA10|3744"
"2590","KCNB1|3745"
"2591","KCNC1|3746"
"2592","KCNC2|3747"
"2593","KCNC3|3748"
"2594","KCNC4|3749"
"2595","KCND1|3750"
"2596","KCND2|3751"
"2597","KCND3|3752"
"2598","KCNE1|3753"
"2599","KCNE1|3753"
"2600","KCNF1|3754"
"2601","KCNG1|3755"
"2602","KCNH1|3756"
"2603","KCNH2|3757"
"2604","KCNJ1|3758"
"2605","KCNJ2|3759"
"2606","KCNJ3|3760"
"2607","KCNJ4|3761"
"2608","KCNJ5|3762"
"2609","KCNJ6|3763"
"2610","KCNJ8|3764"
"2611","KCNJ9|3765"
"2612","KCNJ10|3766"
"2613","KCNJ11|3767"
"2614","KCNJ12|3768"
"2615","KCNJ13|3769"
"2616","KCNJ14|3770"
"2617","KCNJ15|3772"
"2618","KCNJ16|3773"
"2619","KCNK1|3775"
"2620","KCNK2|3776"
"2621","KCNK3|3777"
"2622","KCNMA1|3778"
"2623","KCNMB1|3779"
"2624","KCNN1|3780"
"2625","KCNN2|3781"
"2626","KCNN3|3782"
"2627","KCNN4|3783"
"2628","KCNQ1|3784"
"2629","KCNQ2|3785"
"2630","KCNQ3|3786"
"2631","KCNS1|3787"
"2632","KCNS2|3788"
"2633","KCNS3|3790"
"2634","KDR|3791"
"2635","KEL|3792"
"2636","KHK|3795"
"2637","KIF2A|3796"
"2638","KIF3C|3797"
"2639","KIF5A|3798"
"2640","KIF5B|3799"
"2641","KIF5C|3800"
"2642","KIFC3|3801"
"2643","KIR2DL1|3802"
"2644","KIR2DL3|3804"
"2645","KIR2DL4|3805"
"2646","KIR2DS4|3809"
"2647","KIR3DL1|3811"
"2648","KIR3DL2|3812"
"2649","KIR3DL2|3812"
"2650","KISS1|3814"
"2651","KIT|3815"
"2652","KLK1|3816"
"2653","KLK2|3817"
"2654","KLKB1|3818"
"2655","KLRB1|3820"
"2656","KLRC1|3821"
"2657","KLRC2|3822"
"2658","KLRC3|3823"
"2659","KLRD1|3824"
"2660","KNG1|3827"
"2661","KLC1|3831"
"2662","KLC1|3831"
"2663","KIF11|3832"
"2664","KIFC1|3833"
"2665","KIF25|3834"
"2666","KIF22|3835"
"2667","KPNA1|3836"
"2668","KPNB1|3837"
"2669","KPNA2|3838"
"2670","KPNA3|3839"
"2671","KPNA4|3840"
"2672","KPNA5|3841"
"2673","TNPO1|3842"
"2674","IPO5|3843"
"2675","KRAS|3845"
"2676","KRTAP5-9|3846"
"2677","KRT1|3848"
"2678","KRT2|3849"
"2679","KRT3|3850"
"2680","KRT4|3851"
"2681","KRT5|3852"
"2682","KRT6A|3853"
"2683","KRT6B|3854"
"2684","KRT7|3855"
"2685","KRT8|3856"
"2686","KRT8|3856"
"2687","KRT9|3857"
"2688","KRT10|3858"
"2689","KRT12|3859"
"2690","KRT13|3860"
"2691","KRT14|3861"
"2692","KRT15|3866"
"2693","KRT16|3868"
"2694","KRT17|3872"
"2695","KRT18|3875"
"2696","KRT19|3880"
"2697","KRT31|3881"
"2698","KRT32|3882"
"2699","KRT33A|3883"
"2700","KRT33B|3884"
"2701","KRT34|3885"
"2702","KRT35|3886"
"2703","KRT81|3887"
"2704","KRT82|3888"
"2705","KRT83|3889"
"2706","KRT84|3890"
"2707","KRT85|3891"
"2708","KRT86|3892"
"2709","KTN1|3895"
"2710","L1CAM|3897"
"2711","LAD1|3898"
"2712","AFF3|3899"
"2713","LAG3|3902"
"2714","LAIR1|3903"
"2715","LAIR2|3904"
"2716","LALBA|3906"
"2717","LAMA2|3908"
"2718","LAMA3|3909"
"2719","LAMA4|3910"
"2720","LAMA5|3911"
"2721","LAMB1|3912"
"2722","LAMB2|3913"
"2723","LAMB3|3914"
"2724","LAMC1|3915"
"2725","LAMP1|3916"
"2726","LAMC2|3918"
"2727","LAMP2|3920"
"2728","RPSA|3921"
"2729","STMN1|3925"
"2730","LASP1|3927"
"2731","LBP|3929"
"2732","LBR|3930"
"2733","LCAT|3931"
"2734","LCK|3932"
"2735","LCN1|3933"
"2736","LCN2|3934"
"2737","LCP1|3936"
"2738","LCP2|3937"
"2739","LCT|3938"
"2740","LDHA|3939"
"2741","LDHB|3945"
"2742","LDHC|3948"
"2743","LDLR|3949"
"2744","LECT2|3950"
"2745","LEP|3952"
"2746","LEPR|3953"
"2747","LETM1|3954"
"2748","LFNG|3955"
"2749","LGALS1|3956"
"2750","LGALS2|3957"
"2751","LGALS3|3958"
"2752","LGALS3BP|3959"
"2753","LGALS4|3960"
"2754","LGALS7|3963"
"2755","LGALS7|3963"
"2756","LGALS8|3964"
"2757","LGALS9|3965"
"2758","LHB|3972"
"2759","LHCGR|3973"
"2760","LHX1|3975"
"2761","LIF|3976"
"2762","LIFR|3977"
"2763","LIG1|3978"
"2764","LIG3|3980"
"2765","LIG4|3981"
"2766","LIM2|3982"
"2767","ABLIM1|3983"
"2768","LIMK1|3984"
"2769","LIMK2|3985"
"2770","LIMS1|3987"
"2771","LIPA|3988"
"2772","LIPC|3990"
"2773","LIPE|3991"
"2774","FADS1|3992"
"2775","LLGL2|3993"
"2776","FADS3|3995"
"2777","LLGL1|3996"
"2778","LMAN1|3998"
"2779","LMNA|4000"
"2780","LMNB1|4001"
"2781","LMO1|4004"
"2782","LMO2|4005"
"2783","PRICKLE3|4007"
"2784","LMO7|4008"
"2785","LMX1A|4009"
"2786","LMX1B|4010"
"2787","LNPEP|4012"
"2788","VWA5A|4013"
"2789","LOR|4014"
"2790","LOX|4015"
"2791","LOXL1|4016"
"2792","LOXL2|4017"
"2793","LPA|4018"
"2794","LPL|4023"
"2795","LPO|4025"
"2796","LPP|4026"
"2797","LRMP|4033"
"2798","LRCH4|4034"
"2799","LRP1|4035"
"2800","LRP2|4036"
"2801","LRP3|4037"
"2802","LRP4|4038"
"2803","LRP6|4040"
"2804","LRP5|4041"
"2805","LRPAP1|4043"
"2806","LSAMP|4045"
"2807","LSP1|4046"
"2808","LSS|4047"
"2809","LTA4H|4048"
"2810","LTA|4049"
"2811","LTB|4050"
"2812","CYP4F3|4051"
"2813","LTBP1|4052"
"2814","LTBP2|4053"
"2815","LTBP3|4054"
"2816","LTBR|4055"
"2817","LTC4S|4056"
"2818","LTF|4057"
"2819","LTK|4058"
"2820","BCAM|4059"
"2821","LUM|4060"
"2822","LY6E|4061"
"2823","LY6H|4062"
"2824","LY9|4063"
"2825","CD180|4064"
"2826","LY75|4065"
"2827","LY75|4065"
"2828","LYL1|4066"
"2829","LYN|4067"
"2830","SH2D1A|4068"
"2831","LYZ|4069"
"2832","TACSTD2|4070"
"2833","TM4SF1|4071"
"2834","EPCAM|4072"
"2835","M6PR|4074"
"2836","CAPRIN1|4076"
"2837","NBR1|4077"
"2838","MAB21L1|4081"
"2839","MARCKS|4082"
"2840","MXD1|4084"
"2841","MAD2L1|4085"
"2842","SMAD1|4086"
"2843","SMAD2|4087"
"2844","SMAD3|4088"
"2845","SMAD4|4089"
"2846","SMAD5|4090"
"2847","SMAD6|4091"
"2848","SMAD7|4092"
"2849","SMAD9|4093"
"2850","MAF|4094"
"2851","MAFG|4097"
"2852","MAG|4099"
"2853","MAGEA1|4100"
"2854","MAGEA2|4101"
"2855","MAGEA2|4101"
"2856","MAGEA3|4102"
"2857","MAGEA4|4103"
"2858","MAGEA6|4105"
"2859","MAGEA6|4105"
"2860","MAGEA8|4107"
"2861","MAGEA10|4109"
"2862","MAGEA11|4110"
"2863","MAGEA12|4111"
"2864","MAGEB1|4112"
"2865","MAGEB2|4113"
"2866","MAGEB3|4114"
"2867","MAGEB4|4115"
"2868","MAGOH|4116"
"2869","MAK|4117"
"2870","MAL|4118"
"2871","MAN1A1|4121"
"2872","MAN2A2|4122"
"2873","MAN2C1|4123"
"2874","MAN2A1|4124"
"2875","MAN2B1|4125"
"2876","MANBA|4126"
"2877","MAOA|4128"
"2878","MAOB|4129"
"2879","MAP1A|4130"
"2880","MAP1B|4131"
"2881","MAP2|4133"
"2882","MAP4|4134"
"2883","MAP6|4135"
"2884","MAPT|4137"
"2885","MARK1|4139"
"2886","MARK3|4140"
"2887","MARS|4141"
"2888","MAS1|4142"
"2889","MAT1A|4143"
"2890","MAT2A|4144"
"2891","MATK|4145"
"2892","MATN1|4146"
"2893","MATN2|4147"
"2894","MATN3|4148"
"2895","MAX|4149"
"2896","MAZ|4150"
"2897","MB|4151"
"2898","MBD1|4152"
"2899","MBL2|4153"
"2900","MBNL1|4154"
"2901","MBP|4155"
"2902","MC1R|4157"
"2903","MC2R|4158"
"2904","MC3R|4159"
"2905","MC4R|4160"
"2906","MC5R|4161"
"2907","MCAM|4162"
"2908","MCC|4163"
"2909","CHST6|4166"
"2910","MCF2|4168"
"2911","MCL1|4170"
"2912","MCM2|4171"
"2913","MCM3|4172"
"2914","MCM4|4173"
"2915","MCM5|4174"
"2916","MCM6|4175"
"2917","MCM7|4176"
"2918","CD46|4179"
"2919","SMCP|4184"
"2920","ADAM11|4185"
"2921","MDFI|4188"
"2922","DNAJB9|4189"
"2923","MDH1|4190"
"2924","MDH2|4191"
"2925","MDK|4192"
"2926","MDM2|4193"
"2927","MDM4|4194"
"2928","ME1|4199"
"2929","ME2|4200"
"2930","MEA1|4201"
"2931","MECP2|4204"
"2932","MEF2A|4205"
"2933","LOC729991-MEF2B|4207"
"2934","LOC729991-MEF2B|4207"
"2935","MEF2C|4208"
"2936","MEF2D|4209"
"2937","MEFV|4210"
"2938","MEIS1|4211"
"2939","MEIS2|4212"
"2940","MAP3K1|4214"
"2941","MAP3K3|4215"
"2942","MAP3K4|4216"
"2943","MAP3K5|4217"
"2944","RAB8A|4218"
"2945","MEN1|4221"
"2946","MEOX1|4222"
"2947","MEOX2|4223"
"2948","MEP1A|4224"
"2949","MEP1B|4225"
"2950","MEST|4232"
"2951","MET|4233"
"2952","METTL1|4234"
"2953","MFAP1|4236"
"2954","MFAP2|4237"
"2955","MFAP3|4238"
"2956","MFAP4|4239"
"2957","MFGE8|4240"
"2958","MFI2|4241"
"2959","MFNG|4242"
"2960","MGAT1|4245"
"2961","SCGB2A1|4246"
"2962","MGAT2|4247"
"2963","MGAT3|4248"
"2964","MGAT5|4249"
"2965","SCGB2A2|4250"
"2966","CTAGE5|4253"
"2967","CTAGE5|4253"
"2968","KITLG|4254"
"2969","MGMT|4255"
"2970","MGP|4256"
"2971","MGST1|4257"
"2972","MGST2|4258"
"2973","MGST3|4259"
"2974","CIITA|4261"
"2975","CD99|4267"
"2976","MICB|4277"
"2977","MID1|4281"
"2978","MIF|4282"
"2979","CXCL9|4283"
"2980","MIP|4284"
"2981","MIPEP|4285"
"2982","MITF|4286"
"2983","ATXN3|4287"
"2984","ATXN3|4287"
"2985","MKI67|4288"
"2986","MKLN1|4289"
"2987","MLF1|4291"
"2988","MLH1|4292"
"2989","MAP3K9|4293"
"2990","MAP3K10|4294"
"2991","MLN|4295"
"2992","MAP3K11|4296"
"2993","MLL|4297"
"2994","MLLT1|4298"
"2995","AFF1|4299"
"2996","MLLT3|4300"
"2997","MLLT4|4301"
"2998","MLLT6|4302"
"2999","FOXO4|4303"
"3000","NR3C2|4306"
"3001","TRPM1|4308"
"3002","MME|4311"
"3003","MMP1|4312"
"3004","MMP2|4313"
"3005","MMP3|4314"
"3006","MMP7|4316"
"3007","MMP8|4317"
"3008","MMP9|4318"
"3009","MMP10|4319"
"3010","MMP11|4320"
"3011","MMP12|4321"
"3012","MMP13|4322"
"3013","MMP14|4323"
"3014","MMP15|4324"
"3015","MMP16|4325"
"3016","MMP17|4326"
"3017","MMP19|4327"
"3018","ALDH6A1|4329"
"3019","MN1|4330"
"3020","MNAT1|4331"
"3021","MNDA|4332"
"3022","MNT|4335"
"3023","MOBP|4336"
"3024","MOCS1|4337"
"3025","MOCS2|4338"
"3026","MOG|4340"
"3027","MOS|4342"
"3028","MOV10|4343"
"3029","CD200|4345"
"3030","MPG|4350"
"3031","MPI|4351"
"3032","MPL|4352"
"3033","MPO|4353"
"3034","MPP1|4354"
"3035","MPP2|4355"
"3036","MPP3|4356"
"3037","MPST|4357"
"3038","MPV17|4358"
"3039","MPZ|4359"
"3040","MRC1|4360"
"3041","MRE11A|4361"
"3042","ABCC1|4363"
"3043","MYO1B|4430"
"3044","CITED1|4435"
"3045","MSH2|4436"
"3046","MSH3|4437"
"3047","MSH4|4438"
"3048","MSH5|4439"
"3049","MSI1|4440"
"3050","MSMB|4477"
"3051","MSN|4478"
"3052","MSR1|4481"
"3053","MSRA|4482"
"3054","MST1|4485"
"3055","MST1R|4486"
"3056","MSX1|4487"
"3057","MSX2|4488"
"3058","MT1A|4489"
"3059","MT1B|4490"
"3060","MT1E|4493"
"3061","MT1F|4494"
"3062","MT1G|4495"
"3063","MT1H|4496"
"3064","MT1M|4499"
"3065","MT1L|4500"
"3066","MT1X|4501"
"3067","MT2A|4502"
"3068","MT3|4504"
"3069","MTAP|4507"
"3070","MTCP1|4515"
"3071","MTF1|4520"
"3072","NUDT1|4521"
"3073","MTHFD1|4522"
"3074","MTHFR|4524"
"3075","MTIF2|4528"
"3076","MTM1|4534"
"3077","MYO1F|4542"
"3078","MTNR1A|4543"
"3079","MTNR1B|4544"
"3080","MTTP|4547"
"3081","MTR|4548"
"3082","MTRR|4552"
"3083","MTX1|4580"
"3084","MUC1|4582"
"3085","MUC2|4583"
"3086","MUC4|4585"
"3087","MUC6|4588"
"3088","MUC7|4589"
"3089","TRIM37|4591"
"3090","MUSK|4593"
"3091","MUT|4594"
"3092","MUTYH|4595"
"3093","MVD|4597"
"3094","MVK|4598"
"3095","MX1|4599"
"3096","MX2|4600"
"3097","MXI1|4601"
"3098","MYB|4602"
"3099","MYBL1|4603"
"3100","MYBPC1|4604"
"3101","MYBL2|4605"
"3102","MYBPC2|4606"
"3103","MYBPC3|4607"
"3104","MYBPH|4608"
"3105","MYC|4609"
"3106","MYCL1|4610"
"3107","MYCN|4613"
"3108","MYD88|4615"
"3109","GADD45B|4616"
"3110","MYF5|4617"
"3111","MYF6|4618"
"3112","MYH1|4619"
"3113","MYH2|4620"
"3114","MYH3|4621"
"3115","MYH4|4622"
"3116","MYH6|4624"
"3117","MYH7|4625"
"3118","MYH8|4626"
"3119","MYH9|4627"
"3120","MYH10|4628"
"3121","MYH11|4629"
"3122","MYL1|4632"
"3123","MYL2|4633"
"3124","MYL3|4634"
"3125","MYL4|4635"
"3126","MYL5|4636"
"3127","MYL6|4637"
"3128","MYLK|4638"
"3129","MYO1A|4640"
"3130","MYO1C|4641"
"3131","MYO1D|4642"
"3132","MYO1E|4643"
"3133","MYO5A|4644"
"3134","MYO5B|4645"
"3135","MYO6|4646"
"3136","MYO7A|4647"
"3137","MYO7B|4648"
"3138","MYO9A|4649"
"3139","MYO9B|4650"
"3140","MYO10|4651"
"3141","MYOC|4653"
"3142","MYOD1|4654"
"3143","MYOG|4656"
"3144","PPP1R12A|4659"
"3145","PPP1R12B|4660"
"3146","MYT1|4661"
"3147","NAB1|4664"
"3148","NAB2|4665"
"3149","NACA|4666"
"3150","NAGA|4668"
"3151","NAGLU|4669"
"3152","HNRNPM|4670"
"3153","NAIP|4671"
"3154","NAP1L1|4673"
"3155","NAP1L2|4674"
"3156","NAP1L3|4675"
"3157","NAP1L4|4676"
"3158","NARS|4677"
"3159","NASP|4678"
"3160","CEACAM6|4680"
"3161","NBL1|4681"
"3162","NBL1|4681"
"3163","NUBP1|4682"
"3164","NBN|4683"
"3165","NCAM1|4684"
"3166","NCAM2|4685"
"3167","NCBP1|4686"
"3168","NCF2|4688"
"3169","NCF4|4689"
"3170","NCK1|4690"
"3171","NCL|4691"
"3172","NDN|4692"
"3173","NDP|4693"
"3174","NDUFA1|4694"
"3175","NDUFA2|4695"
"3176","NDUFA3|4696"
"3177","NDUFA4|4697"
"3178","NDUFA5|4698"
"3179","NDUFA6|4700"
"3180","NDUFA7|4701"
"3181","NDUFA7|4701"
"3182","NDUFA8|4702"
"3183","NEB|4703"
"3184","NDUFA9|4704"
"3185","NDUFA10|4705"
"3186","NDUFAB1|4706"
"3187","NDUFB1|4707"
"3188","NDUFB2|4708"
"3189","NDUFB3|4709"
"3190","NDUFB4|4710"
"3191","NDUFB5|4711"
"3192","NDUFB6|4712"
"3193","NDUFB7|4713"
"3194","NDUFB8|4714"
"3195","NDUFB8|4714"
"3196","NDUFB9|4715"
"3197","NDUFB10|4716"
"3198","NDUFC1|4717"
"3199","NDUFC2|4718"
"3200","NDUFS1|4719"
"3201","NDUFS2|4720"
"3202","NDUFS3|4722"
"3203","NDUFV1|4723"
"3204","NDUFS4|4724"
"3205","NDUFS5|4725"
"3206","NDUFS6|4726"
"3207","NDUFS8|4728"
"3208","NDUFV2|4729"
"3209","NDUFV3|4731"
"3210","DRG1|4733"
"3211","NEDD4|4734"
"3212","SEPT2|4735"
"3213","RPL10A|4736"
"3214","NEDD8|4738"
"3215","NEDD9|4739"
"3216","NEFM|4741"
"3217","NEFH|4744"
"3218","NELL1|4745"
"3219","NEK1|4750"
"3220","NEK2|4751"
"3221","NEK3|4752"
"3222","NELL2|4753"
"3223","NEO1|4756"
"3224","NEU1|4758"
"3225","NEU2|4759"
"3226","NEUROD1|4760"
"3227","NEUROD2|4761"
"3228","NEUROG1|4762"
"3229","NF1|4763"
"3230","NF2|4771"
"3231","NFATC1|4772"
"3232","NFATC2|4773"
"3233","NFIA|4774"
"3234","NFATC3|4775"
"3235","NFATC4|4776"
"3236","NFE2|4778"
"3237","NFE2L1|4779"
"3238","NFE2L2|4780"
"3239","NFIB|4781"
"3240","NFIC|4782"
"3241","NFIL3|4783"
"3242","NFIX|4784"
"3243","NFKB1|4790"
"3244","NFKB2|4791"
"3245","NFKBIA|4792"
"3246","NFKBIB|4793"
"3247","NFKBIE|4794"
"3248","NFKBIL1|4795"
"3249","NFKBIL2|4796"
"3250","NFRKB|4798"
"3251","NFX1|4799"
"3252","NFYA|4800"
"3253","NFYB|4801"
"3254","NFYC|4802"
"3255","NGF|4803"
"3256","NGFR|4804"
"3257","NHLH1|4807"
"3258","NHLH2|4808"
"3259","NHP2L1|4809"
"3260","NHS|4810"
"3261","NID1|4811"
"3262","NINJ1|4814"
"3263","NINJ2|4815"
"3264","NIT1|4817"
"3265","NKG7|4818"
"3266","NKTR|4820"
"3267","NKX2-2|4821"
"3268","NKX3-1|4824"
"3269","NKX6-1|4825"
"3270","NNAT|4826"
"3271","NMB|4828"
"3272","NMBR|4829"
"3273","NME1|4830"
"3274","NME2|4831"
"3275","NME2|4831"
"3276","NME3|4832"
"3277","NME4|4833"
"3278","NQO2|4835"
"3279","NMT1|4836"
"3280","NNMT|4837"
"3281","NODAL|4838"
"3282","NOP2|4839"
"3283","NONO|4841"
"3284","NOS1|4842"
"3285","NOS2|4843"
"3286","NOS3|4846"
"3287","CNOT2|4848"
"3288","CNOT3|4849"
"3289","CNOT4|4850"
"3290","NOTCH1|4851"
"3291","NPY|4852"
"3292","NOTCH2|4853"
"3293","NOTCH3|4854"
"3294","NOTCH4|4855"
"3295","NOV|4856"
"3296","NOVA1|4857"
"3297","NOVA2|4858"
"3298","PNP|4860"
"3299","NPAS1|4861"
"3300","NPAS2|4862"
"3301","NPAT|4863"
"3302","NPC1|4864"
"3303","NPHP1|4867"
"3304","NPHS1|4868"
"3305","NPM1|4869"
"3306","NPPA|4878"
"3307","NPPB|4879"
"3308","NPPC|4880"
"3309","NPR1|4881"
"3310","NPR2|4882"
"3311","NPR3|4883"
"3312","NPTX1|4884"
"3313","NPTX2|4885"
"3314","NPY1R|4886"
"3315","NPY2R|4887"
"3316","NPY6R|4888"
"3317","NPY5R|4889"
"3318","SLC11A2|4891"
"3319","NRAP|4892"
"3320","NRAS|4893"
"3321","NRCAM|4897"
"3322","NRD1|4898"
"3323","NRF1|4899"
"3324","NRGN|4900"
"3325","NRL|4901"
"3326","NRTN|4902"
"3327","YBX1|4904"
"3328","NSF|4905"
"3329","NT5E|4907"
"3330","NTF3|4908"
"3331","NTF4|4909"
"3332","NTHL1|4913"
"3333","NTRK1|4914"
"3334","NTRK2|4915"
"3335","NTRK3|4916"
"3336","NTN3|4917"
"3337","ROR1|4919"
"3338","ROR2|4920"
"3339","DDR2|4921"
"3340","NTS|4922"
"3341","NTSR1|4923"
"3342","NUCB1|4924"
"3343","NUCB2|4925"
"3344","NUMA1|4926"
"3345","NUP88|4927"
"3346","NUP98|4928"
"3347","NR4A2|4929"
"3348","NVL|4931"
"3349","GPR143|4935"
"3350","OAS1|4938"
"3351","OAS2|4939"
"3352","OAS3|4940"
"3353","OAT|4942"
"3354","TBC1D25|4943"
"3355","OAZ1|4946"
"3356","OAZ2|4947"
"3357","OCA2|4948"
"3358","OCM2|4951"
"3359","OCRL|4952"
"3360","ODC1|4953"
"3361","ODF1|4956"
"3362","ODF2|4957"
"3363","OMD|4958"
"3364","OGDH|4967"
"3365","OGG1|4968"
"3366","OGN|4969"
"3367","OLR1|4973"
"3368","OMG|4974"
"3369","OMP|4975"
"3370","OPA1|4976"
"3371","OPCML|4978"
"3372","TNFRSF11B|4982"
"3373","OPHN1|4983"
"3374","OPRD1|4985"
"3375","OPRK1|4986"
"3376","OPRL1|4987"
"3377","OPRM1|4988"
"3378","SIX6|4990"
"3379","OR1D2|4991"
"3380","OR1F1|4992"
"3381","OR2C1|4993"
"3382","OR3A1|4994"
"3383","OR3A2|4995"
"3384","ORC1L|4998"
"3385","ORC2L|4999"
"3386","ORC4L|5000"
"3387","ORC5L|5001"
"3388","SLC22A18|5002"
"3389","SLC22A18AS|5003"
"3390","ORM1|5004"
"3391","ORM2|5005"
"3392","OSBP|5007"
"3393","OSM|5008"
"3394","OTC|5009"
"3395","CLDN11|5010"
"3396","OTX1|5013"
"3397","OTX2|5015"
"3398","OVGP1|5016"
"3399","OVOL1|5017"
"3400","OXA1L|5018"
"3401","OXCT1|5019"
"3402","OXT|5020"
"3403","OXTR|5021"
"3404","P2RX1|5023"
"3405","P2RX3|5024"
"3406","P2RX4|5025"
"3407","P2RX5|5026"
"3408","P2RX5|5026"
"3409","P2RX7|5027"
"3410","P2RY1|5028"
"3411","P2RY2|5029"
"3412","P2RY4|5030"
"3413","P2RY6|5031"
"3414","P2RY11|5032"
"3415","P4HA1|5033"
"3416","P4HB|5034"
"3417","PA2G4|5036"
"3418","PEBP1|5037"
"3419","PABPC3|5042"
"3420","FURIN|5045"
"3421","PCSK6|5046"
"3422","PAEP|5047"
"3423","PAFAH1B1|5048"
"3424","PAFAH1B2|5049"
"3425","PAFAH1B3|5050"
"3426","PAFAH2|5051"
"3427","PRDX1|5052"
"3428","PAH|5053"
"3429","SERPINE1|5054"
"3430","SERPINB2|5055"
"3431","PAK1|5058"
"3432","PAK2|5062"
"3433","PAK3|5063"
"3434","PALM|5064"
"3435","PAM|5066"
"3436","CNTN3|5067"
"3437","REG3A|5068"
"3438","PAPPA|5069"
"3439","PARK2|5071"
"3440","PARN|5073"
"3441","PAWR|5074"
"3442","PAX1|5075"
"3443","PAX2|5076"
"3444","PAX3|5077"
"3445","PAX4|5078"
"3446","PAX5|5079"
"3447","PAX6|5080"
"3448","PAX7|5081"
"3449","PDCL|5082"
"3450","PAX9|5083"
"3451","PBX1|5087"
"3452","PBX2|5089"
"3453","PBX3|5090"
"3454","PC|5091"
"3455","PCBD1|5092"
"3456","PCBP1|5093"
"3457","PCBP2|5094"
"3458","PCCA|5095"
"3459","PCCB|5096"
"3460","PCDH1|5097"
"3461","PCDHGC3|5098"
"3462","PCDHGC3|5098"
"3463","PCDHGC3|5098"
"3464","PCDHGC3|5098"
"3465","PCDH7|5099"
"3466","PCDH8|5100"
"3467","PCDH9|5101"
"3468","SERPINA5|5104"
"3469","PCK1|5105"
"3470","PCK2|5106"
"3471","PCM1|5108"
"3472","PCMT1|5110"
"3473","PCNA|5111"
"3474","PCNT|5116"
"3475","PCOLCE|5118"
"3476","CHMP1A|5119"
"3477","PCP4|5121"
"3478","PCSK1|5122"
"3479","PCSK5|5125"
"3480","PCSK2|5126"
"3481","CDK16|5127"
"3482","CDK17|5128"
"3483","CDK18|5129"
"3484","PCYT1A|5130"
"3485","PDC|5132"
"3486","PDCD1|5133"
"3487","PDCD2|5134"
"3488","PDE1A|5136"
"3489","PDE1C|5137"
"3490","PDE2A|5138"
"3491","PDE3A|5139"
"3492","PDE3B|5140"
"3493","PDE4A|5141"
"3494","PDE4B|5142"
"3495","PDE4C|5143"
"3496","PDE4D|5144"
"3497","PDE6A|5145"
"3498","PDE6C|5146"
"3499","PDE6D|5147"
"3500","PDE6G|5148"
"3501","PDE6H|5149"
"3502","PDE7A|5150"
"3503","PDE8A|5151"
"3504","PDE9A|5152"
"3505","PDE1B|5153"
"3506","PDGFA|5154"
"3507","PDGFB|5155"
"3508","PDGFRA|5156"
"3509","PDGFRL|5157"
"3510","PDE6B|5158"
"3511","PDGFRB|5159"
"3512","PDHA1|5160"
"3513","PDHA2|5161"
