"","x"
"1","A1BG|1"
"277","ARCN1|372"
"278","TRIM23|373"
"279","AREG|374"
"280","AREG|374"
"281","ARF1|375"
"282","ARF3|377"
"283","ARF4|378"
"284","ARL4D|379"
"285","ARF5|381"
"286","ARF6|382"
"287","ARG1|383"
"288","ARG2|384"
"289","RHOA|387"
"290","RHOB|388"
"291","RHOC|389"
"292","RND3|390"
"293","RHOG|391"
"294","ARHGAP1|392"
"295","ARHGAP4|393"
"296","ARHGAP5|394"
"297","ARHGAP6|395"
"298","ARHGDIA|396"
"299","ARHGDIB|397"
"300","ARHGDIG|398"
"301","RHOH|399"
"302","ARL1|400"
"303","PHOX2A|401"
"304","ARL2|402"
"305","ARL3|403"
"306","ARNT|405"
"307","ARNTL|406"
"308","ARR3|407"
"309","ARRB1|408"
"310","ARRB2|409"
"311","ARSA|410"
"312","ARSB|411"
"313","STS|412"
"314","ARSD|414"
"315","ARSE|415"
"316","ARSF|416"
"317","ART1|417"
"318","ART3|419"
"319","ART4|420"
"320","ARVCF|421"
"321","ASAH1|427"
"322","ASCL1|429"
"323","ASCL2|430"
"324","ASGR1|432"
"325","ASGR2|433"
"326","ASIP|434"
"327","ASL|435"
"328","ASMT|438"
"329","ASNA1|439"
"330","ASNS|440"
"331","ASPA|443"
"332","ASPH|444"
"333","ASS1|445"
"334","ASTN1|460"
"335","SERPINC1|462"
"336","ZFHX3|463"
"337","ATF1|466"
"338","ATF3|467"
"339","ATF4|468"
"340","ATIC|471"
"341","ATM|472"
"342","RERE|473"
"343","ATOH1|474"
"344","ATOX1|475"
"345","ATP1A1|476"
"346","ATP1A2|477"
"347","ATP1A3|478"
"348","ATP12A|479"
"349","ATP1A4|480"
"350","ATP1B1|481"
"351","ATP1B2|482"
"352","ATP1B3|483"
"353","FXYD2|486"
"354","ATP2A1|487"
"355","ATP2A2|488"
"356","ATP2A3|489"
"357","ATP2B1|490"
"358","ATP2B2|491"
"359","ATP2B3|492"
"360","ATP2B4|493"
"361","ATP4A|495"
"362","ATP4B|496"
"363","ATP5A1|498"
"364","ALDH7A1|501"
"365","ATP5B|506"
"366","ATP5C1|509"
"367","ATP5D|513"
"368","ATP5E|514"
"369","ATP5F1|515"
"370","ATP5G1|516"
"371","ATP5G2|517"
"372","ATP5G3|518"
"373","ATP5I|521"
"374","ATP5J|522"
"375","ATP6V1A|523"
"376","ATP6V1B1|525"
"377","ATP6V1B2|526"
"378","ATP6V0C|527"
"379","ATP6V1C1|528"
"380","ATP6V1E1|529"
"381","ATP6V0B|533"
"382","ATP6V1G2|534"
"383","ATP6V0A1|535"
"384","ATP6AP1|537"
"385","ATP7A|538"
"386","ATP5O|539"
"387","ATP7B|540"
"388","ATR|545"
"389","ATRX|546"
"390","KIF1A|547"
"391","AUH|549"
"392","AUP1|550"
"393","AVP|551"
"394","AVPR1A|552"
"395","AVPR1B|553"
"396","AVPR2|554"
"397","AXL|558"
"398","AZGP1|563"
"399","AZU1|566"
"400","B2M|567"
"401","BAAT|570"
"402","BACH1|571"
"403","BACH1|571"
"404","BAD|572"
"405","BAG1|573"
"406","BAI1|575"
"407","BAI2|576"
"408","BAI3|577"
"409","BAK1|578"
"410","BAK1|578"
"411","NKX3-2|579"
"412","BARD1|580"
"413","BAX|581"
"414","BBS1|582"
"415","BBS1|582"
"416","BBS2|583"
"417","BBS4|585"
"418","BCAT1|586"
"419","BCAT2|587"
"420","BCHE|590"
"421","BCKDHA|593"
"422","BCKDHB|594"
"423","CCND1|595"
"424","BCL2|596"
"425","BCL2A1|597"
"426","BCL2L1|598"
"427","BCL2L2|599"
"428","BCL2L2|599"
"429","BCL3|602"
"430","BCL6|604"
"431","BCL7A|605"
"432","BCL9|607"
"433","TNFRSF17|608"
"434","HCN2|610"
"435","OPN1SW|611"
"436","BCR|613"
"437","BCS1L|617"
"438","BCYRN1|618"
"439","BDH1|622"
"440","BDKRB1|623"
"441","BDKRB2|624"
"442","BDNF|627"
"443","CFB|629"
"444","BFSP1|631"
"445","BGLAP|632"
"446","BGN|633"
"447","CEACAM1|634"
"448","BHMT|635"
"449","BICD1|636"
"450","BID|637"
"451","BIK|638"
"452","PRDM1|639"
"453","BLK|640"
"454","BLM|641"
"455","BLMH|642"
"456","CXCR5|643"
"457","BLVRA|644"
"458","BLVRB|645"
"459","BNC1|646"
"460","BMI1|648"
"461","BMI1|648"
"462","BMP1|649"
"463","BMP2|650"
"464","BMP3|651"
"465","BMP4|652"
"466","BMP5|653"
"467","BMP6|654"
"468","BMP7|655"
"469","BMP8B|656"
"470","BMPR1A|657"
"471","BMPR1B|658"
"472","BMPR2|659"
"473","BMX|660"
"474","POLR3D|661"
"475","BNIP1|662"
"476","BNIP2|663"
"477","BNIP3|664"
"478","BNIP3L|665"
"479","BOK|666"
"480","DST|667"
"481","FOXL2|668"
"482","BPGM|669"
"483","BPHL|670"
"484","BPI|671"
"485","BRCA1|672"
"486","BRAF|673"
"487","BRCA2|675"
"488","BRDT|676"
"489","ZFP36L1|677"
"490","ZFP36L2|678"
"491","BRS3|680"
"492","BSG|682"
"493","BST1|683"
"494","BST2|684"
"495","BTC|685"
"496","BTD|686"
"497","KLF9|687"
"498","KLF5|688"
"499","BTF3|689"
"500","BTG1|694"
"501","BTK|695"
"502","BTN1A1|696"
"503","BUB1|699"
"504","BUB1B|701"
"505","BYSL|705"
"506","TSPO|706"
"507","C1QBP|708"
"508","SERPING1|710"
"509","C1QA|712"
"510","C1QB|713"
"511","C1QC|714"
"512","C1R|715"
"513","C1S|716"
"514","C2|717"
"515","C3|718"
"516","C3AR1|719"
"517","C4A|720"
"518","C4BPA|722"
"519","C4BPB|725"
"520","CAPN5|726"
"521","C5|727"
"522","C5AR1|728"
"523","C6|729"
"524","C7|730"
"525","C8A|731"
"526","C8B|732"
"527","C8G|733"
